State,County,Tract,Population Weight,Population weight_0-17 pop,Household weight,Household weight_With children under 18
42,101,008602,0.21,0.27,0.20,0.26
42,101,008701,0.21,0.26,0.21,0.23
42,101,008702,0.13,0.35,0.10,0.12
42,101,008802,0.17,0.75,0.44,0.72
42,101,008801,0.44,0.40,0.78,0.50
42,101,036900,0.50,0.24,0.59,0.61
42,101,980000,0.64,0.00,0.06,0.00
42,101,011000,0.56,0.60,0.64,0.56
42,101,010500,1.00,1.00,1.00,1.00
42,101,010600,1.00,1.00,1.00,1.00
42,101,010700,1.00,1.00,1.00,1.00
42,101,010800,1.00,1.00,1.00,1.00
42,101,010900,1.00,1.00,1.00,1.00
42,101,009200,1.00,1.00,1.00,1.00
42,101,009100,1.00,1.00,1.00,1.00
42,101,009000,1.00,1.00,1.00,1.00
