,State,County,tract,Total Population Weight,Total Population 0-17 Weight,Household Weight,Household weight_With children under 18
0,42,101,008602,0.2421784472769409,0.25333333333333335,0.19824561403508772,0.2786885245901639
1,42,101,008701,0.20312859443294226,0.16835016835016836,0.2050680431722196,0.24271844660194175
2,42,101,008702,0.22377215925603022,0.14678899082568808,0.21035058430717862,0.23952095808383234
3,42,101,008801,0.374375,0.6046511627906976,0.8672985781990521,0.7142857142857143
4,42,101,008802,0.2174772036474164,0.41688654353562005,0.4071000461041955,0.4846153846153846
5,42,101,009000,1.0,1.0,1.0,1.0
6,42,101,009100,1.0,1.0,1.0,1.0
7,42,101,009200,1.0,1.0,1.0,1.0
8,42,101,010500,1.0,1.0,1.0,1.0
9,42,101,010600,1.0,1.0,1.0,1.0
10,42,101,010700,1.0,1.0,1.0,1.0
11,42,101,010800,1.0,1.0,1.0,1.0
12,42,101,010900,1.0,1.0,1.0,1.0
13,42,101,011000,0.5825932504440497,0.6164383561643836,0.5219097449313277,0.58
14,42,101,036902,0.23294937859957562,0.13636363636363635,0.19559228650137742,0.15151515151515152
15,42,101,980002,0.0,0.0,0.0,0.0
16,42,101,980003,1.0,1.0,,
